author,claps,responses,title,link,sentiment
,0,0,,https://medium.com/search?source=---top_nav_layout_nav----------------------------------,
Just Norah,0,29,"Dear Durian, I Hate You, But I Understand Why Many People Love You",https://medium.com/rooted-publication/dear-durian-i-hate-you-but-i-understand-why-many-people-love-you-727d1ecdbe37?source=topic_portal---recommended_stories---fruits---7-107--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Positive
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F19da0bfdd959&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40kiranwork95%2Fguava-benefits-a-comprehensive-guide-19da0bfdd959&source=---recommended_stories---fruits---6-84----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
Lacqueredcurls,0,27,Pomegranates,https://medium.com/scrittura/pomegranates-3a6d2f990e41?source=topic_portal---recommended_stories---fruits---3-107--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F727d1ecdbe37&operation=register&redirect=https%3A%2F%2Fmedium.com%2Frooted-publication%2Fdear-durian-i-hate-you-but-i-understand-why-many-people-love-you-727d1ecdbe37&source=---recommended_stories---fruits---7-107----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
Just Norah,0,19,You Don’t Waste a Thing When Eating Jackfruit — Not Even the Rind,https://medium.com/rooted-publication/you-dont-waste-a-thing-when-eating-jackfruit-not-even-the-rind-d6fc01bb1bb0?source=topic_portal---recommended_stories---fruits---1-107--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Negative
,0,0,,https://medium.com/m/signin?operation=login&redirect=https%3A%2F%2Fmedium.com%2Ftag%2Ffruits&source=login---top_nav_layout_nav-----------------------global_nav-----------,
Kirankumar,0,1,,https://medium.com/@kiranwork95/guava-benefits-a-comprehensive-guide-19da0bfdd959?source=topic_portal---recommended_stories---fruits---6-84--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fa4a49c5a9bed&operation=register&redirect=https%3A%2F%2Fmedium.com%2Fsharing-food%2Feveryone-needs-to-try-fresh-figs-at-least-once-a4a49c5a9bed&source=---recommended_stories---fruits---5-107----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F3a6d2f990e41&operation=register&redirect=https%3A%2F%2Fmedium.com%2Fscrittura%2Fpomegranates-3a6d2f990e41&source=---recommended_stories---fruits---3-107----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
Nazar Farid,0,0,Mango to King of Fruits and the Benefits,https://medium.com/@nazarfarid164/mango-to-king-of-fruits-and-the-benefits-680adff50404?source=topic_portal---recommended_stories---fruits---2-84--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F680adff50404&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40nazarfarid164%2Fmango-to-king-of-fruits-and-the-benefits-680adff50404&source=---recommended_stories---fruits---2-84----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F181740ae9ca7&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40zafarhusnain7778%2Fthe-power-of-oranges-a-citrus-superfood-for-your-health-181740ae9ca7&source=---recommended_stories---fruits---0-84----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
Nazar Farid,0,7,Health Benefits of Oranges,https://medium.com/@nazarfarid164/health-benefits-of-oranges-8568c89cffd6?source=topic_portal---recommended_stories---fruits---4-84--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Neutral
,0,0,,https://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2Fnew-story&source=---top_nav_layout_nav-----------------------new_post_topnav-----------,
zafar iqbal,0,22,The Power of Oranges A Citrus Superfood for Your Health,https://medium.com/@zafarhusnain7778/the-power-of-oranges-a-citrus-superfood-for-your-health-181740ae9ca7?source=topic_portal---recommended_stories---fruits---0-84--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fd6fc01bb1bb0&operation=register&redirect=https%3A%2F%2Fmedium.com%2Frooted-publication%2Fyou-dont-waste-a-thing-when-eating-jackfruit-not-even-the-rind-d6fc01bb1bb0&source=---recommended_stories---fruits---1-107----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F8568c89cffd6&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40nazarfarid164%2Fhealth-benefits-of-oranges-8568c89cffd6&source=---recommended_stories---fruits---4-84----------------bookmark_preview----31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,
Evin Ibrahim,0,166,Everyone Needs to Try Fresh Figs At Least Once,https://medium.com/sharing-food/everyone-needs-to-try-fresh-figs-at-least-once-a4a49c5a9bed?source=topic_portal---recommended_stories---fruits---5-107--------------------31de2a44_2aab_42a8_8a69_6d4b5a7515e5-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2Fsignedin%2Fsubscriptions%2Ftag%2Ffruits%3FfollowSource%3Dtopics_v2&operation=register&redirect=https%3A%2F%2Fmedium.com%2Ftag%2Ffruits&source=------fruits--------------------follow_tag-----------,
